englishName,monoNameIndex,internalName,nameTag,pickupSize,nameStrId,descriptionStrId,categoryStrId,locationStrId,unitStrId,sizeStrId,isRare,ignoresHole,volume,isCollectible,pickupVolumePenalty,pickupVolume
Dummy,0,DUMMY,,2673,OT_OBJ_0001,OT_CMM_0001,,,UI_SYS_057,,FALSE,FALSE,1,FALSE,1,1
Spatula,1,HERA_B,,226,OT_OBJ_0002,OT_CMM_0002,OT_CTG_008,OT_MPN_036,UI_SYS_058,UI_NIC_011,FALSE,FALSE,0.0006121952,TRUE,0.6,0.00036731712
Persimmon,2,KAKI_B,,242,OT_OBJ_0003,OT_CMM_0003,OT_CTG_003,OT_MPN_040,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.0007499999,TRUE,0.8,0.00059999992
Brick,3,RENGA_B,,409,OT_OBJ_0004,OT_CMM_0004,OT_CTG_027,OT_MPN_034,UI_SYS_057,UI_NIC_012,FALSE,FALSE,0.0036,TRUE,0.2,0.00072
Megaphone,4,KAKUSEKI_C,,462,OT_OBJ_0005,OT_CMM_0005,OT_CTG_029,OT_MPN_043,UI_SYS_057,UI_NIC_012,FALSE,FALSE,0.005168865,TRUE,0.6,0.003101319
Cassette Tape,5,CASSETTE_B,,97,OT_OBJ_0006,OT_CMM_0006,OT_CTG_014,OT_MPN_033,UI_SYS_058,UI_NIC_010,FALSE,FALSE,0.000049,TRUE,0.8,0.0000392
Peeler,6,KAWAMUKI_B,,167,OT_OBJ_0007,OT_CMM_0007,OT_CTG_008,OT_MPN_036,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.000245025,TRUE,0.5,0.0001225125
Canned Mackerel,7,CAN01_B,,182,OT_OBJ_0008,OT_CMM_0008,OT_CTG_004,OT_MPN_036,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0003170291,TRUE,0.5,0.00015851455
Canned Pineapple,8,CAN02_B,,327,OT_OBJ_0009,OT_CMM_0009,OT_CTG_003,OT_MPN_036,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.001838794,TRUE,0.5,0.000919397
Canned Curry,9,CAN03_B,,229,OT_OBJ_0010,OT_CMM_0010,OT_CTG_004,OT_MPN_036,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.0006340581,TRUE,0.5,0.00031702905
