TEXT_ID,SPEAKER,JAPANESE,ENGLISH,FRENCH,GERMAN,ITALIAN,SPANISH
KG_C_CNC_001,王様,ワオゥ！美味シソウ！,Mmmm! Looks yummy!,Mmmm ! Ça a l'air délicieux !,Mhhhh! Sieht lecker aus!,Yum! Appetitoso!,¡Mmmm! ¡Tiene buena pinta!
KG_C_CNC_002,王様,ダメダメ、{^4}ガマンガマン{^5}\n王様シッカリ{^3}王様ファイト。,"But no, no, not yet. {^4}Patience is a\nvirtue.{^5} Focus, {^3}We must focus.","Mais non, non, pas encore. {^4}La patience est une\nvertu.{^5} Concentrons-Nous, {^3}Nous devons Nous concentrer.","Aber nein, nein, jetzt noch nicht. {^4}Geduld ist eine\nTugend.{^5} Konzentration, {^3}Wir müssen uns konzentrieren.","No, non è il momento. {^4}La pazienza è\nuna virtù.{^5} Avanti, {^3}dobbiamo concentrarci.","Pero no, todavía no. {^4}La paciencia es una\nvirtud.{^5} Céntrate, {^3}debemos centrarnos."
KG_C_CNC_003,王様,何ヨリモ美味シソウナ\n{#7}カニ座{#0} ヲツクルニハ、,"To make the yummiest {#7}Cancer{#0} possible,","Pour faire le plus délicieux des {#7}Cancer{#0},","Um den leckersten {#7}Krebs{#0} überhaupt zu fertigen,","Per creare il {#7}Cancro{#0} più appetitoso di tutti,","Para crear la constelación de {#7}Cáncer{#0} más suculenta,"
KG_C_CNC_004,王様,{#7}カニ{#0}ヲイッパーーーーーイ{^9}\n巻キコメバ良インデス。,"all you have to do is roll up as\nmany, many, many crabs\nas you can find.",il vous suffit de rouler sur\nle plus de crabes\npossible.,"musst du nur\nganz, ganz viele\nKrabben aufrollen.",ti basterà raccogliere tutti\ne dico tutti i granchi\nche incontri.,solo tienes que arrollar\ntantos cangrejos\ncomo puedas.
KG_C_CNC_005,王様,ソウダナア・・・・・・,Let's see...{^3},Voyons...{^3},Schauen wir mal ...{^3},Vediamo...{^3},Veamos...{^3}
KG_C_CNC_006,王様,{#4}{$t}{#0} デヨロシク。,you have {$r}{#4}{$t}{#0}.,Vous avez {$r}{#4}{$t}{#0}.,Du hast {$r}{#4}{$t}{#0}.,Hai {$r}{#4}{$t}{#0}.,Tienes {$r}{#4}{$t}{#0}.
KG_C_CNC_007,王様,ヨダレモノノ塊ヲキタイシテルカラ。{^6}\nタノンダゾ、ウワッツラ王子ヨ・・・・,"We look forward to a mouth-watering\nkatamari, callow Prince.","Nous avons hâte de voir un katamari\nalléchant, Prince inexpérimenté.","Wir freuen uns schon auf einen Katamari,\nder uns das Wasser im Mund zusammenlaufen lässt,\nGrünschnabelprinz.","Speriamo di vedere un katamari più\nstuzzicante, Principe principiante.","Esperamos un katamari exquisito,\nPríncipe imberbe."
KG_C_CNC_008,王様,ウワ、{^5}美味シソー。\n{&a}デモ、ナンダカ気持チワルー。,"Wheeee,{^5} that looks delicious!\n{&a}But also slightly disturbing.","Ouah,{^5} ça a l'air délicieux !\n{&a}Mais aussi un peu déroutant.","Ohooo!{^5} Das sieht unglaublich deliziös aus.\n{&a}Irgendwie auch etwas ... ungewöhnlich, aber egal.","Ooooh,{^5} sembra delizioso!\n{&a}ma anche un po' disturbante.","¡Síííí,{^5} tiene una pinta increíble!\n{&a}Aunque también algo inquietante..."
KG_C_CNC_009,王様,マア、イイヤ。\n美味美味 {#4}レ{#7}イ{#4}ン{#7}ボ{#4}ー{#0} デモドリマショウ。,Oh well. \nLet's take the yum-yum {#7}R{#2}a{#3}i{#4}n{#1}b{#6}o{#3}w{#4}{#0} back.,Enfin bref. \nReprenons le délicieux {#7}Ar{#2}c-{#3}e{#4}n-{#1}c{#6}i{#3}el{#4}{#0}.,Na dann.\nHolen wir uns den leckeren {#7}Re{#2}g{#3}en{#4}b{#1}o{#6}g{#3}en{#4}{#0} zurück.,"Oh, beh.\nRientriamo con un saporito {#7}A{#2}r{#3}c{#4}o{#1}b{#6}a{#3}l{#4}e{#0}n{#7}o{#2}.",En fin.\nTomemos el delicioso {#7}a{#2}r{#3}c{#4}o{#1}í{#6}r{#3}is{#4}{#0} de vuelta.
KG_C_CNC_010,王様,{#4}サル{#0}ハカンケイ無イデショ。,Nothing to do with {#4}monkeys{#0}.,Ça n'a rien à vois avec les {#4}singes{#0}.,Das hat nichts mit {#4}Affen{#0} zu tun.,Non ci servono {#4}scimmie{#0}.,Nada que ver con los {#4}monos{#0}.
