name,size,location,best time to collect
,,,
Page 1,,,
,,,
1a. Vegetables,,,
,,,
Carrot,57cm,alap2,
Cucumber,10cm9mm,alap2,
Tomato,16cm5mm,alap2,
Eggplant,17cm8mm,alap2,
Onion,21cm1mm,sumo small,
Sweet Potato,29cm4mm,alap2,
Corn,36cm6mm,alap2,
Bamboo Shoot,48cm2mm,sumo small,
,,,
Turnip,58cm2mm,sumo small,
Daikon Radish,76cm9mm,campfire large,
Daikon Radishes,63cm8mm,alap2,
Chinese Cabbages,89cm8mm,racetrack,
Cabbage,74cm2mm,alap2,
Squash,50cm7mm,alap2,
Yellow Squash,57cm4mm,alap2,
Gigantic Pumpkin,1m95cm,sumo small,
,,,
Big Turnip,18m93cm9mm,alap5,
,,,
1b. Fruit,,,
,,,
Cherries,8cm,alap1,
Monster Cherries,12cm,alap1,
Strawberry,7cm2mm,alap1,
Giant Strawberry,10cm8mm,alap2,
Strawberry Pack,28cm4mm,sumo small,
Mandarin Piece,6cm5mm,alap1,
Mandarin,14cm1mm,alap1,
Persimmon,24cm2mm,sumo small,
,,,
Grapes,41cm2mm,"alap3, in front of the grandma",
Muscat,41cm2mm,"alap3, held by the grape grandma",
Banana,21cm4mm,alap2,
Banana Bunch,40cm6mm,alap2,
Pear,24cm6mm,school,
Big Pear,36cm9mm,alap3,
Apple,15cm8mm,alap1,
Monster Apple,36cm9mm,flowers,
,,,
Canned Peach,34cm3mm,school,
Peach,25cm1mm,alap3,
Big Peach,1m5mm,sumo large,
Melon,32cm9mm,school,
Monster Melon,60cm7mm,school afap,
Apple Basket,94cm6mm,alap3,
Peach Basket,94cm1mm,friends afap,
Orange Basket,93cm8mm,friends afap,
,,,
Pineapple,65cm,alap2,
Gigantic Pineapple,2m37cm2mm,sumo medium,
,,,
1c. Food,,,
,,,
Bento Lunch,27cm1mm,alap2,
Big Bento Lunch,44cm8mm,alap2,
Champion Burger,37cm2mm,sumo small,
Hamburger,20cm2mm,sumo small,
Sandwich,18cm5mm,alap2,
Egg Sandwich,18cm5mm,alap2,
Croissant,15cm6mm,sumo small,
Bread Loaf,22cm7mm,school,
,,,
Toast,19cm,alap2,
Sliced Bread,32cm8mm,alap2,
French Bread,38cm8mm,sumo small,
Fried Chicken,21cm4mm,alap2,
Ham,34cm,sumo small,
Sausage,8cm3mm,alap2,
Canned Tuna,13cm3mm,alap1,
Canned Sardines,18cm2mm,alap1,
,,,
Cheese,8cm6mm,alap2,
Gratin,26cm5mm,sumo small,
Pizza,42cm6mm,sumo small,
Gigantic Pizza,1m36cm5mm,sumo small,
Fried Shrimp,14cm9mm,alap2,
Gigantic Fried Shrimp,1m67cm1mm,sumo medium,
Hamburger,33cm8mm,sumo small,
Jumbo Beef Patty,1m38cm6mm,sumo large,
,,,
Egg,13cm6mm,alap3,
Omelet Rice,29cm1mm,sumo small,
Turkey,81cm4mm,alap3,
Stew,27cm7mm,school,
Curry,1m10cm6mm,snow,
Stew,1m10cm6mm,school,
Curry Roux,42cm,sumo small,
Rice,95cm6mm,sumo small,
,,,
Steamed Bun,22cm9mm,sumo small,
Fried Rice,75cm7mm,campfire small,
Roast Pork,1m28cm2mm,sumo small,
Shumai Dumpling,12cm3mm,sumo small,
Gyoza Dumplings,6cm4mm,alap1,
Cup Noodles,27cm2mm,alap1,
Ramen,46cm5mm,sumo small,
Gigantic Ramen,1m50cm8mm,sumo medium,
,,,
Kebab,31cm1mm,alap2,
Roast On Bone,50cm,campfire small,
Large Meat,1m38cm6mm,sumo small,
,,,
1d. Snacks,,,
,,,
Candy,6cm,alap1,
Milk Candy,6cm,alap1,
Kintaro Candy,3cm8mm,alap1,
Coffee Flavor Candy,7cm3mm,"alap1, cleaning","cleaning, unmissable"
Grape Flavor Candy,7cm3mm,"alap1, cleaning","cleaning, unmissable"
Lollipop,18cm5mm,alap2,
Pink Lollipop,1m1mm,sweets house,
Blue Lollipop,1m1mm,sweets house,
,,,
Strawberry Flower,46cm,sweets house,
Grape Flower,46cm,sweets house,
Mandarin Flower,46cm,sweets house,
Candy Cane,1m60cm,sweets house,
Gummy,97cm,sweets house,
Marble Cake,12cm,alap1,
Marble Cake,78cm,sweets house,
Pound Cake,1m60cm,sweets house,
,,,
Chocolate,4cm1mm,alap1,
Chocolate,4cm2mm,alap1,
Chocolate,12cm8mm,"alap1, cleaning","cleaning, unmissable"
Chocolate,11cm7mm,"alap2, cleaning","cleaning, unmissable"
Chocolate,11cm7mm,"alap2, cleaning","cleaning, unmissable"
Bitter Chocolate,50cm,sweets house,
Mild Chocolate,50cm,sweets house,
Chocolate Stick,1cm50mm,sweets house,
,,,
Chocolate Pie,5cm,alap1,
Chocolate Pie,50cm,sweets house,
Bread Stick,90cm,sweets house,
Caramel,4cm4mm,alap1,
Caramel Box,11cm3mm,"cleaning, unmissable","cleaning, unmissable"
Caramel,50cm,sweets house,
Gum,8cm5mm,"cleaning, unmissable","cleaning, unmissable"
Gum Stick,4cm5mm,alap1,
,,,
Dried Squid,17cm4mm,alap2,
Rice Cracker,15cm5mm,alap1,
Dango Dumpling,9cm5mm,alap1,
Gigantic Dango,1m78cm8mm,sumo medium,
Hishi-Mochi,47cm,sumo small,
Canned Sweets,14cm8mm,alap1,
Grilled Fish,24cm6mm,underwater,
Gigantic Fried Fish,1m8cm,sumo small,
,,,
Creme Caramel,14cm6mm,alap1,
Big Creme Caramel,1m50cm,sweets house,
Whipped Cream,1m50cm,sweets house,
Red Cherry,1m47cm,sweets house,
Green Cherry,1m47cm,sweets house,
Chocolate Parfait,42cm4mm,alap3,
Strawberry Parfait,45cm3mm,school,
Jumbo Sundae,1m47cm7mm,sumo small,
,,,
Cream Puff,18cm9mm,sumo medium,
Melon Bread,21cm8mm,sumo small,
Chocolate Bread,22cm2mm,alap2,
Pancake,31cm2mm,sumo small,
Honey Madeleine,1m20cm,sweets house,
Madeleine,1m20cm,sweets house,
Baumkuchen Cake,39cm2mm,sumo small,
Big Baumkuchen,1m5mm,sweets house,
,,,
Shortcake,51cm3mm,sumo small,
Tart,8cm2mm,alap1,
Big Tart,2m,sweets house,
Chocolate Donut,14cm,alap1,
Strawberry Donut,14cm,alap1,
Big Chocolate Donut,72cm,sweets house,
Strawberry Donut,72cm,sweets house,
Vanilla Wafer,60cm,sweets house,
,,,
Strawberry Wafer,60cm,sweets house,
Chocolate Wafer,68cm2mm,sweets meadow,
Red Wafer,68cm2mm,sweets meadow,
Green Wafer,68cm2mm,sweets meadow,
Blue Wafer,68cm2mm,sweets meadow,
Purple Wafer,68cm2mm,sweets meadow,
Cookie,6cm5mm,alap2,
Cookie,80cm,sweets house,
,,,
Chocolate Cookie,5cm6mm,alap1,
Big Chocolate Cookie,1m30cm,sweets house,
Star Cookie,5cm,alap1,
Star Cookie,1m6cm,sweets house,
Chicken Cookie,66cm5mm,sweets house,
Pig Cookie,68cm9mm,sweets house,
Sheep Cookie,80cm4mm,sweets house,
Donkey Cookie,1m2mm,sweets house,
,,,
