englishName,monoNameIndex,pickupSize,volume,volumeRate,pickupVolumePenalty,pickupVolume,alpha,price,sort,targetCode,targetCount,parentCode,category,categoryForRank,size,isRare,semi,ride,scissor,shadow,unit,catchCountType,cowType,scream,anim,dummyHit,roll,noCrash,human,escape,matrixType,goldStar,voidMdl,wndDispPrio,diResultSnap,diThrough,thin,countStyle,creator,version
,0,2673,0,1,1,0,1,0,9999,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Spatula,1,226,0.0003673171159,0.6999999881,0.6000000238,0.0002203902783,1,0,55,0,1,0,7,7,2,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Persimmon,2,242,0.00202499982,1,0.8000000119,0.00161999988,1,50,18,0,1,0,2,2,2,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Brick,3,409,0.0007200000109,2,0.200000003,0.0001440000043,1,150,31,0,1,0,26,26,3,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Megaphone,4,462,0.003101318842,0.6999999881,0.6000000238,0.001860791379,1,4200,12,0,1,0,28,28,3,0,0,0,0,0,19,1,0,44288,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cassette Tape,5,97,3.92E-05,0.6999999881,0.8000000119,0.00003136000934,1,0,20,0,1,0,13,13,1,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
Peeler,6,167,0.0001225125161,1,0.5,0.00006125625805,1,0,53,0,1,0,7,7,1,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Shaved Ice Stand,7,4795,3.493641615,1,0.6000000238,2.096185052,1,0,10,0,1,0,55,55,12,0,0,0,1,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Grilled Corn Stand,8,4795,3.386119604,1,0.6000000238,2.031671843,1,0,10,0,1,0,55,55,12,0,0,0,1,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Apple Candy Stand,9,4795,3.386119604,1,0.6000000238,2.031671843,1,0,10,0,1,0,55,55,12,0,0,0,1,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Red Sock,10,116,6.67E-05,0.6999999881,0.8000000119,0.00005333614615,1,0,20,0,1,0,12,12,1,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Blue Sock,11,127,8.62E-05,0.6999999881,0.8000000119,0.00006893448984,1,0,20,0,1,0,12,12,1,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
Girly Cellphone,12,116,6.68E-05,0.6999999881,0.8000000119,0.00005347301565,1,0,17,0,1,0,28,28,1,0,0,0,0,0,19,1,0,44800,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Eraser,13,81,2.30E-05,1,0.8000000119,0.0000184320018,1,0,30,0,1,0,11,11,1,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
Sand Eraser,14,74,1.70E-05,1,0.8000000119,0.00001359999899,1,0,31,0,1,0,11,11,1,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
